resort,state_or_country,notes,lat,lon,elevation_ft
Stratton Mountain,Vermont,,43.1134,-72.9081,3875
Copper Mountain,Colorado,,39.5022,-106.1512,12441
Jackson Hole,Wyoming,,43.5875,-110.8279,10450
Mount Southington,Connecticut,,41.6001,-72.8804,925
Winter Park,Colorado,,39.8868,-105.7625,12060
Eldora,Colorado,,39.9375,-105.5828,10600
Arapahoe Basin,Colorado,,39.6425,-105.8719,13050
Palisades Tahoe,California,,39.1968,-120.2357,9050
Sunday River,Maine,,44.4737,-70.8574,3140
Killington,Vermont,,43.6045,-72.8201,4241
Okemo,Vermont,,43.4009,-72.7168,3344
Magic Mountain,Vermont,,43.1934,-72.7620,3133
Bromley Mountain,Vermont,,43.2273,-72.9346,3284
Mohawk Mountain,Connecticut,,41.8365,-73.2882,1600
Thunder Ridge,New York,,41.4667,-73.6062,1200
Steamboat,Colorado,,40.4572,-106.8045,10568
Brighton,Utah,,40.5977,-111.5836,10500
Alta,Utah,,40.5884,-111.6386,10550
